,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2010-02-05,22409.264211842736,24469.32405663591,39267.871048538356,22409.264211842736,22409.264211842736,9291.17270297006,9291.17270297006,9291.17270297006,9291.17270297006,9291.17270297006,9291.17270297006,0.0,0.0,0.0,31700.436914812795
1,2010-02-12,22414.080527316077,30287.452809754755,45577.95639029716,22414.080527316077,22414.080527316077,15292.341188488008,15292.341188488008,15292.341188488008,15292.341188488008,15292.341188488008,15292.341188488008,0.0,0.0,0.0,37706.421715804085
2,2010-02-19,22418.896842789414,28751.918293007293,44104.51124492958,22418.896842789414,22418.896842789414,13990.313790822296,13990.313790822296,13990.313790822296,13990.313790822296,13990.313790822296,13990.313790822296,0.0,0.0,0.0,36409.210633611714
3,2010-02-26,22423.71315826276,20852.225724064767,35721.06643911482,22423.71315826276,22423.71315826276,6092.171545552778,6092.171545552778,6092.171545552778,6092.171545552778,6092.171545552778,6092.171545552778,0.0,0.0,0.0,28515.884703815536
4,2010-03-05,22428.5294737361,11796.958869941589,27384.306723928763,22428.529473736104,22428.529473736104,-2916.9165868466216,-2916.9165868466216,-2916.9165868466216,-2916.9165868466216,-2916.9165868466216,-2916.9165868466216,0.0,0.0,0.0,19511.612886889478
5,2010-03-12,22433.34578920944,8975.27715054674,23116.143212948577,22433.34578920944,22433.34578920944,-6402.53490321851,-6402.53490321851,-6402.53490321851,-6402.53490321851,-6402.53490321851,-6402.53490321851,0.0,0.0,0.0,16030.81088599093
6,2010-03-19,22438.14423935692,12935.648414477208,28167.805554573755,22438.14423935692,22438.14423935692,-1860.0902095882727,-1860.0902095882727,-1860.0902095882727,-1860.0902095882727,-1860.0902095882727,-1860.0902095882727,0.0,0.0,0.0,20578.054029768646
7,2010-03-26,22442.942689504398,21506.81884726283,37232.83172095152,22442.942689504398,22442.942689504398,6981.26383072663,6981.26383072663,6981.26383072663,6981.26383072663,6981.26383072663,6981.26383072663,0.0,0.0,0.0,29424.206520231026
8,2010-04-02,22447.741139651873,28385.662005549777,43868.129176351365,22447.741139651873,22447.741139651873,13459.552391759695,13459.552391759695,13459.552391759695,13459.552391759695,13459.552391759695,13459.552391759695,0.0,0.0,0.0,35907.29353141157
9,2010-04-09,22452.53958979935,28756.16414385589,43547.96098814252,22452.53958979935,22452.53958979935,13592.910374679388,13592.910374679388,13592.910374679388,13592.910374679388,13592.910374679388,13592.910374679388,0.0,0.0,0.0,36045.44996447874
10,2010-04-16,22457.338039906525,23906.016238069365,38713.48088966284,22457.338039906525,22457.338039906525,8670.309788128285,8670.309788128285,8670.309788128285,8670.309788128285,8670.309788128285,8670.309788128285,0.0,0.0,0.0,31127.64782803481
11,2010-04-23,22462.1364900137,17688.29422875871,32602.652825642337,22462.1364900137,22462.1364900137,2851.0531172858036,2851.0531172858036,2851.0531172858036,2851.0531172858036,2851.0531172858036,2851.0531172858036,0.0,0.0,0.0,25313.189607299504
12,2010-04-30,22466.934940120875,14288.53939193184,29255.9193539136,22466.934940120875,22466.934940120875,-1053.2486794747967,-1053.2486794747967,-1053.2486794747967,-1053.2486794747967,-1053.2486794747967,-1053.2486794747967,0.0,0.0,0.0,21413.686260646078
13,2010-05-07,22471.733390228048,12096.137688314804,26894.98190495026,22471.733390228048,22471.733390228048,-3202.3860899460033,-3202.3860899460033,-3202.3860899460033,-3202.3860899460033,-3202.3860899460033,-3202.3860899460033,0.0,0.0,0.0,19269.347300282046
14,2010-05-14,22476.53184033522,9874.378637834741,24325.923279639665,22476.53184033522,22476.53184033522,-4927.345082994213,-4927.345082994213,-4927.345082994213,-4927.345082994213,-4927.345082994213,-4927.345082994213,0.0,0.0,0.0,17549.18675734101
15,2010-05-21,22481.33029039198,8536.66144058507,23276.956630167886,22481.33029039198,22481.33029039198,-6487.030724694638,-6487.030724694638,-6487.030724694638,-6487.030724694638,-6487.030724694638,-6487.030724694638,0.0,0.0,0.0,15994.299565697342
16,2010-05-28,22486.128740448734,7984.18409403736,23019.618947349612,22486.128740448734,22486.128740448734,-7090.705944422708,-7090.705944422708,-7090.705944422708,-7090.705944422708,-7090.705944422708,-7090.705944422708,0.0,0.0,0.0,15395.422796026025
17,2010-06-04,22490.927190505496,8452.88743629826,23388.52551898095,22490.9271905055,22490.9271905055,-6528.01715110411,-6528.01715110411,-6528.01715110411,-6528.01715110411,-6528.01715110411,-6528.01715110411,0.0,0.0,0.0,15962.910039401386
18,2010-06-11,22495.72564056225,8719.624385276187,24261.42129348935,22495.72564056225,22495.72564056225,-5818.953310297634,-5818.953310297634,-5818.953310297634,-5818.953310297634,-5818.953310297634,-5818.953310297634,0.0,0.0,0.0,16676.772330264615
19,2010-06-18,22500.52409074974,8689.609280896555,23646.221234323035,22500.52409074974,22500.52409074974,-5988.845197599768,-5988.845197599768,-5988.845197599768,-5988.845197599768,-5988.845197599768,-5988.845197599768,0.0,0.0,0.0,16511.678893149972
20,2010-06-25,22505.322540937224,7915.701502456018,22968.12379171633,22505.322540937224,22505.322540937224,-6765.951041870333,-6765.951041870333,-6765.951041870333,-6765.951041870333,-6765.951041870333,-6765.951041870333,0.0,0.0,0.0,15739.371499066892
21,2010-07-02,22510.120991124713,8534.3258003857,22601.171617640302,22510.120991124713,22510.120991124713,-7041.863851095079,-7041.863851095079,-7041.863851095079,-7041.863851095079,-7041.863851095079,-7041.863851095079,0.0,0.0,0.0,15468.257140029635
